Scenario,Class,Technology,Year,Value
Conservative,4,Technology 1,2023,3906.1715999999997
Conservative,4,Technology 1,2024,3911.5152
Conservative,4,Technology 1,2025,3916.8588000000004
Conservative,4,Technology 1,2026,3922.2024
Conservative,4,Technology 1,2027,3927.5460000000003
Conservative,4,Technology 1,2028,3932.8896000000004
Conservative,4,Technology 1,2029,3938.2332
Conservative,4,Technology 1,2030,3943.5768000000003
Conservative,4,Technology 1,2031,3948.38604
Conservative,4,Technology 1,2032,3953.19528
Conservative,4,Technology 1,2033,3958.00452
Conservative,4,Technology 1,2034,3962.81376
Conservative,4,Technology 1,2035,3967.623
Conservative,4,Technology 1,2036,3972.43224
Conservative,4,Technology 1,2037,3977.24148
Conservative,4,Technology 1,2038,3982.0507199999997
Conservative,4,Technology 1,2039,3986.85996
Conservative,4,Technology 1,2040,3991.6692000000003
Conservative,4,Technology 1,2041,3996.47844
Conservative,4,Technology 1,2042,4001.28768
Conservative,4,Technology 1,2043,4006.09692
Conservative,4,Technology 1,2044,4010.90616
Conservative,4,Technology 1,2045,4015.7154
Conservative,4,Technology 1,2046,4020.5246399999996
Conservative,4,Technology 1,2047,4025.33388
Conservative,4,Technology 1,2048,4030.14312
Conservative,4,Technology 1,2049,4034.9523599999998
Conservative,4,Technology 1,2050,4039.7616000000003
Advanced,5,Technology 1,2022,3826.6088459259217
Advanced,5,Technology 1,2023,3885.813143703704
Advanced,5,Technology 1,2024,3945.3764933333296
Advanced,5,Technology 1,2025,4005.298894814807
Advanced,5,Technology 1,2026,4065.5803481481453
Advanced,5,Technology 1,2027,4126.220853333327
Advanced,5,Technology 1,2028,4187.220410370369
Advanced,5,Technology 1,2029,4248.579019259254
Advanced,5,Technology 1,2030,4310.29668
Advanced,5,Technology 1,2031,4312.936082360654
Advanced,5,Technology 1,2032,4315.575140065572
Advanced,5,Technology 1,2033,4318.213853114747
Advanced,5,Technology 1,2034,4320.852221508195
Advanced,5,Technology 1,2035,4323.490245245898
Advanced,5,Technology 1,2036,4326.127924327868
Advanced,5,Technology 1,2037,4328.765258754093
Advanced,5,Technology 1,2038,4331.402248524583
Advanced,5,Technology 1,2039,4334.038893639338
Advanced,5,Technology 1,2040,4336.675194098358
Advanced,5,Technology 1,2041,4339.311149901634
Advanced,5,Technology 1,2042,4341.946761049175
Advanced,5,Technology 1,2043,4344.582027540981
Advanced,5,Technology 1,2044,4347.2169493770425
Advanced,5,Technology 1,2045,4349.851526557369
Advanced,5,Technology 1,2046,4352.48575908196
Advanced,5,Technology 1,2047,4355.119646950817
Advanced,5,Technology 1,2048,4357.7531901639295
Advanced,5,Technology 1,2049,4360.3863887213065
Advanced,5,Technology 1,2050,4363.01924262295
Moderate,5,Technology 1,2022,3796.7066400000003
Moderate,5,Technology 1,2023,3825.64968
Moderate,5,Technology 1,2024,3854.59272
Moderate,5,Technology 1,2025,3883.5357599999998
Moderate,5,Technology 1,2026,3912.4788000000003
Moderate,5,Technology 1,2027,3941.42184
Moderate,5,Technology 1,2028,3970.3648799999996
Moderate,5,Technology 1,2029,3999.30792
Moderate,5,Technology 1,2030,4028.25096
Moderate,5,Technology 1,2031,4031.507052
Moderate,5,Technology 1,2032,4034.763144
Moderate,5,Technology 1,2033,4038.019236
Moderate,5,Technology 1,2034,4041.2753279999997
Moderate,5,Technology 1,2035,4044.5314200000003
Moderate,5,Technology 1,2036,4047.787512
Moderate,5,Technology 1,2037,4051.0436040000004
Moderate,5,Technology 1,2038,4054.299696
Moderate,5,Technology 1,2039,4057.5557879999997
Moderate,5,Technology 1,2040,4060.81188
Moderate,5,Technology 1,2041,4064.067972
Moderate,5,Technology 1,2042,4067.324064
Moderate,5,Technology 1,2043,4070.580156
Moderate,5,Technology 1,2044,4073.836248
Moderate,5,Technology 1,2045,4077.0923399999997
Moderate,5,Technology 1,2046,4080.3484320000002
Moderate,5,Technology 1,2047,4083.604524
Moderate,5,Technology 1,2048,4086.8606160000004
Moderate,5,Technology 1,2049,4090.116708
Moderate,5,Technology 1,2050,4093.3727999999996
Conservative,5,Technology 1,2022,3772.9320000000002
Conservative,5,Technology 1,2023,3778.1004000000003
Conservative,5,Technology 1,2024,3783.2688
Conservative,5,Technology 1,2025,3788.4372000000003
Conservative,5,Technology 1,2026,3793.6056
Conservative,5,Technology 1,2027,3798.774
Conservative,5,Technology 1,2028,3803.9424
Conservative,5,Technology 1,2029,3809.1108
Conservative,5,Technology 1,2030,3814.2792
Conservative,5,Technology 1,2031,3818.9307599999997
Conservative,5,Technology 1,2032,3823.58232
Conservative,5,Technology 1,2033,3828.2338799999998
Conservative,5,Technology 1,2034,3832.88544
Conservative,5,Technology 1,2035,3837.536999999991
Conservative,5,Technology 1,2036,3842.1885599999914
Conservative,5,Technology 1,2037,3846.840119999991
Conservative,5,Technology 1,2038,3851.4916799999914
Conservative,5,Technology 1,2039,3856.1432399999912
Conservative,5,Technology 1,2040,3860.7947999999915
Conservative,5,Technology 1,2041,3865.4463599999913
Conservative,5,Technology 1,2042,3870.0979199999915
Conservative,5,Technology 1,2043,3874.7494799999913
Conservative,5,Technology 1,2044,3879.4010399999916
Conservative,5,Technology 1,2045,3884.052599999991
Conservative,5,Technology 1,2046,3888.704159999991
Conservative,5,Technology 1,2047,3893.355719999991
Conservative,5,Technology 1,2048,3898.007279999991
Conservative,5,Technology 1,2049,3902.658839999991
Conservative,5,Technology 1,2050,3907.310399999991
Advanced,6,Technology 1,2022,3625.6700192592566
Advanced,6,Technology 1,2023,3682.612290370366
Advanced,6,Technology 1,2024,3739.9136133333263
Advanced,6,Technology 1,2025,3797.573988148148
Advanced,6,Technology 1,2026,3855.593414814813
Advanced,6,Technology 1,2027,3913.9718933333293
Advanced,6,Technology 1,2028,3972.709423703698
Advanced,6,Technology 1,2029,4031.8060059259187
Advanced,6,Technology 1,2030,4091.2616399999997
Advanced,6,Technology 1,2031,4093.3546353661154
Advanced,6,Technology 1,2032,4095.446749945355
Advanced,6,Technology 1,2033,4097.537983737701
Advanced,6,Technology 1,2034,4099.628336743163
Advanced,6,Technology 1,2035,4101.71780896174
Advanced,6,Technology 1,2036,4103.806400393442
Advanced,6,Technology 1,2037,4105.894111038251
Advanced,6,Technology 1,2038,4107.980940896175
Advanced,6,Technology 1,2039,4110.0668899672055
Advanced,6,Technology 1,2040,4112.15195825136
Advanced,6,Technology 1,2041,4114.23614574863
Advanced,6,Technology 1,2042,4116.319452459017
Advanced,6,Technology 1,2043,4118.4018783825095
Advanced,6,Technology 1,2044,4120.483423519118
Advanced,6,Technology 1,2045,4122.564087868851
Advanced,6,Technology 1,2046,4124.64387143169
Advanced,6,Technology 1,2047,4126.722774207645
Advanced,6,Technology 1,2048,4128.800796196715
Advanced,6,Technology 1,2049,4130.877937398901
Advanced,6,Technology 1,2050,4132.954197814202
Moderate,6,Technology 1,2022,3596.503653333327
Moderate,6,Technology 1,2023,3623.920506666662
Moderate,6,Technology 1,2024,3651.337359999997
Moderate,6,Technology 1,2025,3678.7542133333322
Moderate,6,Technology 1,2026,3706.171066666659
Moderate,6,Technology 1,2027,3733.5879199999945
Moderate,6,Technology 1,2028,3761.0047733333295
Moderate,6,Technology 1,2029,3788.4216266666645
Moderate,6,Technology 1,2030,3815.83848
Moderate,6,Technology 1,2031,3818.922876
Moderate,6,Technology 1,2032,3822.007272
Moderate,6,Technology 1,2033,3825.091668
Moderate,6,Technology 1,2034,3828.176064
Moderate,6,Technology 1,2035,3831.26046
Moderate,6,Technology 1,2036,3834.344856
Moderate,6,Technology 1,2037,3837.4292520000004
Moderate,6,Technology 1,2038,3840.513648
Moderate,6,Technology 1,2039,3843.598043999991
Moderate,6,Technology 1,2040,3846.68244
Moderate,6,Technology 1,2041,3849.7668360000002
Moderate,6,Technology 1,2042,3852.8512320000004
Moderate,6,Technology 1,2043,3855.9356279999997
Moderate,6,Technology 1,2044,3859.020024
Moderate,6,Technology 1,2045,3862.1044199999997
Moderate,6,Technology 1,2046,3865.188816
Moderate,6,Technology 1,2047,3868.273212
Moderate,6,Technology 1,2048,3871.357608
Moderate,6,Technology 1,2049,3874.442004
Moderate,6,Technology 1,2050,3877.5263999999997
Conservative,6,Technology 1,2022,3573.982666666659
Conservative,6,Technology 1,2023,3578.8785333333267
Conservative,6,Technology 1,2024,3583.7743999999943
Conservative,6,Technology 1,2025,3588.670266666662
Conservative,6,Technology 1,2026,3593.5661333333296
Conservative,6,Technology 1,2027,3598.4619999999973
Conservative,6,Technology 1,2028,3603.357866666665
Conservative,6,Technology 1,2029,3608.2537333333325
Conservative,6,Technology 1,2030,3613.1495999999997
Conservative,6,Technology 1,2031,3617.5558799999912
Conservative,6,Technology 1,2032,3621.96216
Conservative,6,Technology 1,2033,3626.3684399999997
Conservative,6,Technology 1,2034,3630.77472
Conservative,6,Technology 1,2035,3635.180999999991
Conservative,6,Technology 1,2036,3639.5872799999916
Conservative,6,Technology 1,2037,3643.9935599999912
Conservative,6,Technology 1,2038,3648.3998399999914
Conservative,6,Technology 1,2039,3652.806119999991
Conservative,6,Technology 1,2040,3657.212399999991
Conservative,6,Technology 1,2041,3661.6186799999914
Conservative,6,Technology 1,2042,3666.024959999991
Conservative,6,Technology 1,2043,3670.4312399999912
Conservative,6,Technology 1,2044,3674.837519999991
Conservative,6,Technology 1,2045,3679.2437999999916
Conservative,6,Technology 1,2046,3683.6500799999912
Conservative,6,Technology 1,2047,3688.0563599999914
Conservative,6,Technology 1,2048,3692.462639999991
Conservative,6,Technology 1,2049,3696.8689199999912
Conservative,6,Technology 1,2050,3701.2751999999914
Advanced,7,Technology 1,2022,3345.790939259254
Advanced,7,Technology 1,2023,3399.5825303703687
Advanced,7,Technology 1,2024,3453.7331733333262
Advanced,7,Technology 1,2025,3508.242868148145
Advanced,7,Technology 1,2026,3563.111614814807
Advanced,7,Technology 1,2027,3618.3394133333295
Advanced,7,Technology 1,2028,3673.9262637037036
Advanced,7,Technology 1,2029,3729.8721659259218
Advanced,7,Technology 1,2030,3786.17712
Advanced,7,Technology 1,2031,3787.509048480867
Advanced,7,Technology 1,2032,3788.8393494207576
Advanced,7,Technology 1,2033,3790.16802281967
Advanced,7,Technology 1,2034,3791.4950686775883
Advanced,7,Technology 1,2035,3792.8204869945293
Advanced,7,Technology 1,2036,3794.144277770484
Advanced,7,Technology 1,2037,3795.4664410054615
Advanced,7,Technology 1,2038,3796.7869766994536
Advanced,7,Technology 1,2039,3798.1058848524503
Advanced,7,Technology 1,2040,3799.4231654644786
Advanced,7,Technology 1,2041,3800.7388185355126
Advanced,7,Technology 1,2042,3802.052844065569
Advanced,7,Technology 1,2043,3803.3652420546396
Advanced,7,Technology 1,2044,3804.6760125027236
Advanced,7,Technology 1,2045,3805.9851554098304
Advanced,7,Technology 1,2046,3807.292670775952
Advanced,7,Technology 1,2047,3808.598558601087
Advanced,7,Technology 1,2048,3809.902818885245
Advanced,7,Technology 1,2049,3811.2054516284084
Advanced,7,Technology 1,2050,3812.5064568305943
Moderate,7,Technology 1,2022,3317.6494933333324
Moderate,7,Technology 1,2023,3342.940586666665
Moderate,7,Technology 1,2024,3368.2316799999967
Moderate,7,Technology 1,2025,3393.522773333329
Moderate,7,Technology 1,2026,3418.813866666662
Moderate,7,Technology 1,2027,3444.104959999994
Moderate,7,Technology 1,2028,3469.3960533333266
Moderate,7,Technology 1,2029,3494.687146666659
Moderate,7,Technology 1,2030,3519.97824
Moderate,7,Technology 1,2031,3522.8234879999995
Moderate,7,Technology 1,2032,3525.668736
Moderate,7,Technology 1,2033,3528.513984
Moderate,7,Technology 1,2034,3531.3592320000002
Moderate,7,Technology 1,2035,3534.20448
Moderate,7,Technology 1,2036,3537.049728
